Calories							2500
Total Fat				gram		80
Saturated Fat			gram		20
Cholesterol				milligram	300
Sodium					milligram	2300
Total Carbohydrates		gram		275
Dietary Fiber			gram		28
Sugars					gram		50
Protein					gram		50
Vitamin D				microgram	20
Calcium					milligram	1300
Iron					milligram	18
Potassium				milligram	4700
Vitamin A				microgram	900
Vitamin C				milligram	90
Vitamin E				milligram	15
Vitamin K				microgram	120
Thiamin					milligram	1.2
Riboflavin				milligram	1.3
Niacin					milligram	16
Vitamin B6				milligram	1.7
Folate/Folic Acid		microgram	400
Vitamin B12				microgram	2.4
Biotin					microgram	30
Phosphorus				milligram	1250
Iodine					microgram	150
Magnesium				milligram	420
Zinc					milligram	11
Copper					milligram	0.9
Manganese				milligram	2.3
Chloride				milligram	2300
Chromium				microgram	35
Molybdenum				microgram	45
Choline					milligram	550
Pantothenic Acid		milligram	5
Selenium				microgram	55
